"","V1","V2","V3","V4"
"1","0.469886909360177","-0.485721394330171","A","0"
"2","0.94278948152857","-0.868507910915526","B","0"
"3","-0.0662712676039896","-0.578071367607578","B","0"
"4","0.00889202171433531","-0.661438594652527","C","1"
"5","0.700528248423439","0.556975609492522","C","0"
"6","1.04542892632237","0.0264297839828981","A","0"
"7","-0.34880810806895","0.501103932388271","A","0"
"8","0.790738067832824","0.378875154487551","C","0"
"9","-0.491562252480333","-0.3483066880651","A","1"
"10","0.681794177962268","-0.470399910952295","B","1"
"11","-0.940920702140273","0.0703062760059704","A","0"
"12","1.47826367934424","0.0126710820015799","B","1"
"13","1.88983808355022","1.66946647657248","B","0"
"14","-1.24898032334956","-1.51296551332832","B","1"
"15","-1.1127867452544","-1.66194232112615","C","0"
"16","-0.123412691261803","0.357727866945888","B","1"
"17","0.113051438112638","-0.875248815003105","B","1"
"18","2.11198961241028","-0.474958067804791","B","1"
"19","-3.4365116020222","0.944349488290874","C","1"
"20","0.366563626157989","0.211365329624623","B","1"
"21","-0.0236631507027744","-0.604166717473723","C","1"
"22","0.0825861163242852","-0.905724091289455","A","1"
"23","-0.964477941932393","1.24083019230716","A","1"
"24","0.63349217402202","1.16071287502403","C","0"
"25","0.591977003159345","0.805129327940549","B","0"
"26","-1.63300785518814","-0.561569246006791","B","1"
"27","-0.243265395187578","-0.483149322714409","B","1"
"28","-0.157208566838578","0.768313108605654","B","0"
"29","-0.536945567941019","-1.07390933772747","A","0"
"30","0.127131059417965","-0.0720560115357244","C","0"
"31","-1.03286001481339","-1.24431318249309","B","1"
"32","-1.30162427212334","-0.626028229381828","A","0"
"33","-0.915419779639103","-2.35394034983464","A","0"
"34","0.00658284626555885","0.420455090755958","B","0"
"35","0.964983053905087","-0.501274166910508","A","0"
"36","-0.97285694905428","-0.00221526965130635","C","1"
"37","-1.88001587307165","-0.281490538609856","A","0"
"38","-1.4054734316207","0.146404640282398","A","0"
"39","-0.387733300104314","1.49289522243305","A","1"
"40","0.0818406869315047","1.03410923759032","C","1"
"41","0.0395575729124044","-0.0513991713613884","B","1"
"42","-1.53806505359947","-1.10336584161706","C","0"
"43","-1.06416953640292","-1.63318372241068","A","0"
"44","1.14139861977289","-0.637576213407547","C","1"
"45","1.35445986081864","-0.621937200317656","C","1"
"46","-0.183422464890015","-0.838101433365418","C","1"
"47","-1.5782569031768","1.47055505206868","B","1"
"48","-0.961770345736253","-0.155450842675707","A","1"
"49","2.50587902163248","1.73886051785","B","0"
"50","-0.316419170039245","-0.412614816748674","A","0"
"51","0.135642613896616","0.432206322327775","A","1"
"52","-2.02138029248149","-0.834691123703678","A","0"
"53","-1.03663828937954","0.174378299016631","C","1"
"54","-1.27262472154186","-1.86255067120892","B","0"
"55","1.17608658497147","0.809123461809774","B","0"
"56","-0.587531047158471","-0.6392896175883","C","0"
"57","0.870178141567233","0.294296729326838","A","1"
"58","-1.19519504433842","0.0295447756248823","C","1"
"59","2.12365966877978","0.183474986848874","C","1"
"60","0.0986854743831384","1.78688523352384","A","1"
"61","0.823620212434865","0.570442348080381","A","1"
"62","0.843829463013336","-0.519142036854249","C","1"
"63","-0.935558090929732","-2.68616304180587","A","0"
"64","0.51228752354249","0.784151872389275","C","0"
"65","0.152810767212975","-0.201170477393011","C","0"
"66","0.179543188724454","-0.839816557601965","B","0"
"67","0.192656928001723","-0.770195861792185","A","1"
"68","-1.94064964040897","0.0710695933704859","B","0"
"69","1.10583596287601","-2.34463614419219","B","1"
"70","0.514167423798255","-0.241807881140565","A","1"
"71","-1.36888739246009","-1.48555524485565","A","1"
"72","1.15167689463415","0.357652096975286","C","0"
"73","1.34184623354482","-0.643967662256322","C","0"
"74","0.190080073813668","0.629182608822829","C","0"
"75","-0.826969316487926","-0.789251790412539","B","0"
"76","0.588571743851126","0.971815026608857","C","0"
"77","-0.146195868764326","-0.545560418056098","A","0"
"78","-1.79673114792576","1.18398702630074","A","1"
"79","0.387107706952399","-0.98476451134894","A","1"
"80","-2.07126608224228","0.313600264226278","C","0"
"81","-1.27891447451225","-1.15992612645683","C","0"
"82","1.19613661789053","0.904945376725724","B","1"
"83","-1.76563997737201","1.06296656492339","C","0"
"84","0.457840873999246","-1.38030783431136","B","0"
"85","1.26584226349896","-0.149319231959206","A","1"
"86","-1.2665294547578","0.465603362904114","C","1"
"87","1.02226823324883","0.410648665705895","B","0"
"88","-0.348305027808683","-2.74604129508449","C","1"
"89","-2.29829281137304","-0.0204883902244519","B","1"
"90","-0.0386758139664643","0.544983262870156","C","1"
"91","-0.208239617155086","0.595641647861868","C","0"
"92","-0.569985083071461","0.292645264364391","C","0"
"93","-0.801833059369553","-0.47283775340908","A","0"
"94","1.72722824773625","-1.50458012332438","B","1"
"95","-0.209617835603543","-1.73828780078132","C","1"
"96","1.51214443129794","1.25406355638867","A","0"
"97","0.607823114377363","1.27544170552982","C","1"
"98","2.60776759332845","-0.8304949753166","A","1"
"99","1.06314724491486","-0.286728218098933","A","0"
"100","-0.60525308018738","1.21720665249841","A","0"
